status,class,esu_dps,x_min,y_min,x_max,y_max,species,subdomain,sourcethm,altspname,species2,species3,domain,area,v_count_evergreen_forest,v_count_shrubland,v_count_grass_pasture,v_count_developed_open_space,v_count_mixed_forest,v_count_developed_low_intensity,v_count_alfalfa,v_count_developed_med_intensity,v_count_open_water,v_count_barren,v_count_other_hay_non_alfalfa,v_count_herbaceous_wetlands,v_count_deciduous_forest,v_count_background,v_count_developed_high_intensity,v_count_woody_wetlands,v_count_pears,v_count_grapes,v_count_winter_wheat,v_count_fallow_idle_cropland,v_count_triticale,v_count_barley,v_count_perennial_ice_snow,v_count_spring_wheat,v_count_corn,v_count_walnuts,v_count_potatoes,v_count_cherries,v_count_rye,v_count_oats,v_count_sod_grass_seed,v_count_other_tree_crops,v_count_apples,v_count_christmas_trees,v_count_mint,v_count_sweet_corn,v_count_almonds,v_count_clover_wildflowers,v_count_herbs,v_count_blueberries,v_count_dry_beans,v_count_pistachios,v_count_hops,v_count_peaches,v_count_garlic,v_count_other_crops,v_count_plums,v_count_cantaloupes,v_count_lettuce,v_count_radishes,v_count_turnips,v_count_x228,v_count_peas,v_count_squash,v_count_vetch,v_count_onions,v_count_dbl_crop_win_wht_corn,v_count_honeydew_melons,v_count_sugarbeets,v_count_buckwheat,v_count_cauliflower,v_count_rice,v_pct_evergreen_forest,v_pct_shrubland,v_pct_grass_pasture,v_pct_developed_open_space,v_pct_mixed_forest,v_pct_developed_low_intensity,v_pct_alfalfa,v_pct_developed_med_intensity,v_pct_open_water,v_pct_barren,v_pct_other_hay_non_alfalfa,v_pct_herbaceous_wetlands,v_pct_deciduous_forest,v_pct_background,v_pct_developed_high_intensity,v_pct_woody_wetlands,v_pct_pears,v_pct_grapes,v_pct_winter_wheat,v_pct_fallow_idle_cropland,v_pct_triticale,v_pct_barley,v_pct_perennial_ice_snow,v_pct_spring_wheat,v_pct_corn,v_pct_walnuts,v_pct_potatoes,v_pct_cherries,v_pct_rye,v_pct_oats,v_pct_sod_grass_seed,v_pct_other_tree_crops,v_pct_apples,v_pct_christmas_trees,v_pct_mint,v_pct_sweet_corn,v_pct_almonds,v_pct_clover_wildflowers,v_pct_herbs,v_pct_blueberries,v_pct_dry_beans,v_pct_pistachios,v_pct_hops,v_pct_peaches,v_pct_garlic,v_pct_other_crops,v_pct_plums,v_pct_cantaloupes,v_pct_lettuce,v_pct_radishes,v_pct_turnips,v_pct_x228,v_pct_peas,v_pct_squash,v_pct_vetch,v_pct_onions,v_pct_dbl_crop_win_wht_corn,v_pct_honeydew_melons,v_pct_sugarbeets,v_pct_buckwheat,v_pct_cauliflower,v_pct_rice,v_count_tomatoes,v_count_cotton,v_count_sunflower,v_count_dbl_crop_oats_corn,v_count_olives,v_count_citrus,v_count_safflower,v_count_pomegranates,v_count_watermelons,v_count_nectarines,v_count_cucumbers,v_count_sorghum,v_count_chick_peas,v_count_dbl_crop_win_wht_sorghum,v_count_oranges,v_count_durum_wheat,v_count_carrots,v_count_pecans,v_count_peppers,v_count_dbl_crop_barley_corn,v_count_pumpkins,v_count_pop_or_orn_corn,v_count_broccoli,v_count_misc_vegs_fruits,v_count_sweet_potatoes,v_count_asparagus,v_count_strawberries,v_count_dbl_crop_win_wht_cotton,v_count_canola,v_count_aquaculture,v_count_cabbage,v_count_greens,v_count_soybeans,v_count_millet,v_pct_tomatoes,v_pct_cotton,v_pct_sunflower,v_pct_dbl_crop_oats_corn,v_pct_olives,v_pct_citrus,v_pct_safflower,v_pct_pomegranates,v_pct_watermelons,v_pct_nectarines,v_pct_cucumbers,v_pct_sorghum,v_pct_chick_peas,v_pct_dbl_crop_win_wht_sorghum,v_pct_oranges,v_pct_durum_wheat,v_pct_carrots,v_pct_pecans,v_pct_peppers,v_pct_dbl_crop_barley_corn,v_pct_pumpkins,v_pct_pop_or_orn_corn,v_pct_broccoli,v_pct_misc_vegs_fruits,v_pct_sweet_potatoes,v_pct_asparagus,v_pct_strawberries,v_pct_dbl_crop_win_wht_cotton,v_pct_canola,v_pct_aquaculture,v_pct_cabbage,v_pct_greens,v_pct_soybeans,v_pct_millet,v_count_lentils,v_count_mustard,v_count_apricots,v_count_cranberries,v_count_camelina,v_pct_lentils,v_pct_mustard,v_pct_apricots,v_pct_cranberries,v_pct_camelina,v_count_caneberries,v_count_speltz,v_count_celery,v_count_tobacco,v_count_flaxseed,v_pct_caneberries,v_pct_speltz,v_pct_celery,v_pct_tobacco,v_pct_flaxseed
Threatened,Accessible,Southern OR\Northern CA Coasts Coho Salmon,-124.5665,39.3057,-122.1153,42.9025,Coho,Southern Oregon/Northern California Coast,Domain_so-nc.shp,Coho,Coho,Salmon,Southern Oregon/Northern California Coast,46315.0407404122,31774798,10938675,3790453,2047781,1034349,383352,252560,222793,190196,173107,165572,153691,124117,85778,66377,52440,22511,14636,7599,7046,5167,3017,2479,2328,1563,1422,1104,1068,950,898,748,600,553,326,252,211,192,163,129,114,108,106,98,97,80,73,41,36,24,20,12,11,9,6,6,5,4,3,3,1,1,1,0.6166049119903687,0.21227013734804062,0.07355552467929549,0.0397381542214855,0.02007202922619133,0.007439126008647854,0.004901045683194823,0.004323403036490436,0.0036908429076691583,0.0033592228186601456,0.0032130025968400908,0.0029824461993027225,0.002408548808445882,0.0016645624667923882,0.0012880769294956558,0.0010176228841730145,4.368365512131718e-4,2.840184693508055e-4,1.4746217194566623e-4,1.367309466415534e-4,1.0026806717242498e-4,5.8546305140159896e-5,4.810616189673728e-5,4.517593581912238e-5,3.0330750723921083e-5,2.7594579353433002e-5,2.1423639666800307e-5,2.0725042721143774e-5,1.8435197177047363e-5,1.742611269998793e-5,1.4515292093085714e-5,1.1643282427608862e-5,1.0731225304112834e-5,6.326183452334148e-6,4.890178619595722e-6,4.094554320375783e-6,3.725850376834836e-6,3.163091726167074e-6,2.5033057219359055e-6,2.2122236612456835e-6,2.095790836969595e-6,2.056979895544232e-6,1.9017361298427809e-6,1.8823306591300993e-6,1.5524376570145148e-6,1.4165993620257449e-6,7.956242992199389e-7,6.985969456565317e-7,4.657312971043545e-7,3.881094142536287e-7,2.3286564855217724e-7,2.134601778394958e-7,1.7464923641413294e-7,1.1643282427608862e-7,1.1643282427608862e-7,9.702735356340718e-8,7.762188285072575e-8,5.821641213804431e-8,5.821641213804431e-8,1.9405470712681437e-8,1.9405470712681437e-8,1.9405470712681437e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Threatened,Accessible,California Central Valley Steelhead,-123.069,35.9373,-118.9492,40.8065,Steelhead,California Central Valley,Domain_cv.shp,Steelhead,Steelhead,Trout,Central Valley,56306.6965322161,5455037,9630197,14895440,2034640,623598,1405193,1664445,1760890,716702,197810,603538,1014914,192997,NA,596601,252213,30669,2009533,1326833,2874247,173403,112141,NA,12597,558990,1890488,308,166140,23555,217606,1441,69000,21771,1,17,19756,5735126,202781,15315,1307,35387,1159430,NA,46058,81256,13518,201006,25316,12036,NA,NA,57194,10252,5056,5567,68466,382062,9269,NA,470,104,1682298,0.08713559836432176,0.15382718356654526,0.2379311226119737,0.03250015973420229,0.00996099290780142,0.022445738291482973,0.026586879432624114,0.028127435946584883,0.01144818222477797,0.003159702255446936,0.009640566098012907,0.016211647818030795,0.003082822183886014,NA,0.009529758481886141,0.004028704236151045,4.89888824995208e-4,0.03209911507251933,0.021194061082358953,0.04591155517219347,0.0027698389879240943,0.0017912753178710625,NA,2.0121717462142993e-4,0.008928982173663025,0.030197559261389048,4.919813430451728e-6,0.00265382403680276,3.76253913487956e-4,0.0034759120822950612,2.3017698549613445e-5,0.001102165995783017,3.47757331799885e-4,1.5973420228739376e-8,2.7154814388856944e-7,0.00031557089003897513,0.09160957766276916,0.003239106127404,2.4463293080314354e-4,2.087726023896237e-5,5.652514216344004e-4,0.018520062615807298,NA,7.357037888952783e-4,0.0012979362341064469,2.1592869465209891e-4,0.0032107533064979874,4.043831065107661e-4,1.9225608587310715e-4,NA,NA,9.1358379656252e-4,1.637595041850361e-4,8.07616126765063e-5,8.892403041339212e-5,0.0010936361893808702,0.006102836879432624,1.4805763210018529e-4,NA,7.507507507507507e-6,1.6612357037888952e-6,0.026872052903967797,946145,343591,238518,160061,158507,154035,86673,52550,19103,18521,18300,15261,14224,11957,9646,9084,8590,7747,5827,4330,4058,3521,2774,2752,2076,1589,1348,413,347,202,123,109,19,14,0.015113171682320618,0.005488323429812792,0.003809948246118459,0.0025567216152322537,0.0025318989201967923,0.00246046578493387,0.0013844642514855281,8.394032330202543e-4,3.051402466296083e-4,2.95843716056482e-4,2.923135901859306e-4,2.4377036611079165e-4,2.2720592933358892e-4,1.9099418567503673e-4,1.5407961152642002e-4,1.451025493578685e-4,1.3721167976487125e-4,1.2374608651204397e-4,9.307711967286435e-5,6.91649095904415e-5,6.48201392882244e-5,5.624241262539135e-5,4.4310267714523036e-5,4.3958852469490765e-5,3.3160820394862946e-5,2.5381764743466872e-5,2.153217046834068e-5,6.597022554469363e-6,5.5427768193725645e-6,3.2266308862053544e-6,1.9647306881349433e-6,1.7411028049325921e-6,3.0349498434604816e-7,2.236278832023513e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Threatened,Accessible,Snake River Spring/Summer-run Chinook Salmon,-119.0494,43.788,-112.9985,46.8457,Spring/summer-run Chinook,Snake River,Domain_ic.shp,Stream type Chinook,Chinook,Salmon,Interior Columbia,56635.7382646668,25500237,23050839,9288398,314340,1141,153642,570504,70624,288624,286639,396440,146726,833,3119,9218,51231,76,6391,1158869,615564,9459,59522,29302,488663,35258,3,40719,4618,46,11288,92189,1,59864,878,10893,14925,1,5167,51,2329,1248,NA,34,47,1430,80,1,NA,NA,1020,2,155,53904,5,14,7844,2,NA,6642,3,NA,NA,0.40430038751277064,0.365465746071085,0.1472654121125558,0.004983788339330506,1.8090292343246505e-5,0.0024359585418063804,0.00904520959070246,0.0011197272624447337,0.004576067079121104,0.004544595361065587,0.006285464940014588,0.0023263069538608126,1.3207023244456038e-5,4.945102701015412e-5,1.4614926802808615e-4,8.122557116887483e-4,1.2049625048963494e-6,1.0132783379990221e-4,0.01837360122482536,0.009759625517947583,1.499702675501917e-4,9.437076081110592e-4,4.6457646471674774e-4,0.007747639375396904,5.590074736530984e-4,4.756430940380326e-8,6.455903715378217e-4,7.321732694225449e-5,7.293194108583166e-7,1.789686415167104e-4,0.001461635373209073,1.5854769801267755e-8,9.491299393830929e-4,1.3920487885513088e-5,1.7270600744520963e-4,2.3663243928392122e-4,1.5854769801267755e-8,8.192159556315049e-5,8.085932598646554e-7,3.69257588671526e-5,1.9786752711982157e-5,NA,5.390621732431036e-7,7.451741806595845e-7,2.267232081581289e-5,1.2683815841014202e-6,1.5854769801267755e-8,NA,NA,1.6171865197293107e-5,3.170953960253551e-8,2.457489319196502e-6,8.54635511367537e-4,7.927384900633876e-8,2.2196677721774856e-7,1.2436481432114425e-4,3.170953960253551e-8,NA,1.0530738102002043e-4,4.756430940380326e-8,NA,NA,NA,NA,2919,NA,NA,NA,30,NA,13,NA,NA,91,135717,NA,NA,1,2674,NA,NA,37,NA,1,56,214,NA,31,1,NA,76710,NA,NA,1,574,523,NA,NA,4.628007304990057e-5,NA,NA,NA,4.756430940380326e-7,NA,2.061120074164808e-7,NA,NA,1.4427840519153657e-6,0.0021517617931186557,NA,NA,1.5854769801267755e-8,4.2395654448589976e-5,NA,NA,5.866264826469069e-7,NA,1.5854769801267755e-8,8.878671088709943e-7,3.392920737471299e-6,NA,4.914978638393003e-7,1.5854769801267755e-8,NA,0.0012162193914552494,NA,NA,1.5854769801267755e-8,9.100637865927691e-6,8.292044606063036e-6,1802,35,5,3,2,2.8570295181884492e-5,5.549169430443714e-7,7.927384900633876e-8,4.756430940380326e-8,3.170953960253551e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Species of Concern,Accessible,Central Valley Fall & Late Fall-run Chinook Salmon,-123.069,35.9373,-118.9492,40.8065,Fall-run Chinook,California Central Valley,Domain_cv.shp,Late Chinook,Chinook,Salmon,Central Valley,57846.0228507526,5473567,9878463,15216356,2155587,749081,1545341,1668719,1917258,884881,199780,607510,1280769,195409,NA,647844,253675,30883,2022484,1343981,2879632,180228,127693,NA,12597,559102,1893851,308,166289,23684,219017,1442,69023,21771,1,17,19802,5743936,204794,15340,1308,35634,1159676,NA,46086,81283,13524,201742,25328,12062,NA,NA,57206,10271,5074,5587,68466,382092,9298,NA,471,104,1682658,0.08510507327622706,0.15359404890293618,0.23658961192530523,0.0335158754041528,0.01164699242647974,0.02402754164546775,0.02594586907814088,0.02981024669642895,0.01375846177561014,0.003106254392999052,0.009445793404198889,0.019913876927955765,0.003038292445097366,NA,0.010072921568615867,0.003944234073200693,4.8018047061262247e-4,0.031446340022876634,0.02089672081968795,0.04477359870968388,0.002802252561524843,0.001985418671564861,NA,1.9586288211337e-4,0.008693127658597236,0.029446305878644746,4.788899554728741e-6,0.002585523759923012,3.6824771770842696e-4,0.003405358486292288,2.2420757006230015e-5,0.0010731954998897464,3.3850367599350464e-4,1.554837517769072e-8,2.643223780207422e-7,3.078889252686316e-4,0.08930887192464411,0.003184213946139993,2.3851207522577564e-4,2.033727473241946e-5,5.54050801081831e-4,0.018031077532563663,NA,7.165624184390545e-4,0.0012638185795682347,2.1027622590308928e-4,0.0031367603050976808,3.938092465005505e-4,1.8754450139330545e-4,NA,NA,8.894603504149753e-4,1.5969736145006138e-4,7.88924556516027e-5,8.686877211775804e-5,0.0010645350549157728,0.005940909768394202,1.445687924021683e-4,NA,7.323284708692328e-6,1.6170310184798346e-6,0.02616259787974271,946975,343655,241611,160064,158968,154063,87335,52550,19167,18521,18312,15267,14225,11960,9663,9084,8613,7756,5841,4330,4063,3560,2777,2752,2076,1589,1408,413,347,202,123,113,19,15,0.014723922583893668,0.005343276871689304,0.0037566584750570323,0.002488735124441887,0.0024716941052471382,0.0023954293250005652,0.001357917346143619,8.170671155876473e-4,2.98015707030798e-4,2.879714566660098e-4,2.8472184625387247e-4,2.373770438378042e-4,2.2117563690265046e-4,1.85958567125181e-4,1.5024394934202542e-4,1.412414401141425e-4,1.3391815540545016e-4,1.2059319787816922e-4,9.081805941289149e-5,6.732446451940082e-5,6.317304834695739e-5,5.535221563257896e-5,4.3177837868447126e-5,4.2789128489004856e-5,3.2278426868885933e-5,2.4706368157350553e-5,2.189211225018853e-5,6.421478948386267e-6,5.395286186658679e-6,3.140771785893525e-6,1.9124501468559582e-6,1.7569663950790513e-6,2.9541912837612365e-7,2.332256276653608e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Not Warranted,Accessible,Mid-Columbia River Spring-run Chinook Salmon,-121.8203,44.1138,-117.68,47.4645,Spring-run Chinook,Middle Columbia River,Domain_ic.shp,Stream type Chinook,Chinook,Salmon,Interior Columbia,69094.04851275,18614994,20326198,19294627,1398595,6961,739401,1306026,375265,609507,122510,512128,267480,11669,NA,71507,149310,30624,362062,4570784,4656008,48094,127368,15461,537985,513769,14,358843,169805,399,7210,198979,196,513340,446,56062,115307,2,104,3981,30291,56626,NA,240326,2509,2726,4695,269,229,NA,236,405,53510,194705,1232,19,103918,NA,NA,11196,383,NA,NA,0.24190499406036306,0.26414237933462476,0.25073693979336875,0.01817497846992878,9.045937181898566e-5,0.009608640997317888,0.0169720286653157,0.004876632116887179,0.0079206465075814525,0.0015920381614055357,0.006655189939795071,0.0034759478198739097,1.5164062774827521e-4,NA,9.292455538945852e-4,0.0019403086921839893,3.979640572596778e-4,0.004705056899802555,0.05939811081170386,0.060505611099579346,6.249896607186175e-4,0.0016551686926936599,2.0091830881961462e-4,0.006991206026150984,0.006676515012220722,1.8193236682456534e-7,0.004663225450601964,0.002206644682046094,5.185072454500112e-6,9.369516891465115e-5,0.0025857657441703706,2.5470531355439147e-6,0.006670940084694455,5.795845400268296e-6,7.28535167779913e-4,0.0014984339586742968,2.5990338117795047e-8,1.3514975821253425e-6,5.173376802347104e-5,3.936366659630649e-4,7.358644431291312e-4,NA,0.0031230769992486064,3.260487916877389e-5,3.542483085455465e-5,6.101231873152387e-5,3.4957004768434338e-6,2.975893714487533e-6,NA,3.0668598978998157e-6,5.2630434688534975e-6,6.953714963416065e-4,0.0025302243916126422,1.601004828056175e-5,2.4690821211905297e-7,0.001350431978262513,NA,NA,1.4549391278341668e-4,4.977149749557752e-6,NA,NA,NA,NA,3954,NA,NA,NA,1907,NA,8219,NA,2,13,64722,NA,NA,3,17176,NA,38,140,1408,1,13,709,NA,2247,24,NA,41730,NA,NA,179,1447,NA,NA,NA,5.138289845888081e-5,NA,NA,NA,2.478178739531758e-5,NA,1.0680729449507875e-4,NA,2.5990338117795047e-8,1.689371977656678e-7,8.410733318299655e-4,NA,NA,3.898550717669257e-8,2.2320502375562388e-4,NA,4.938164242381059e-7,1.8193236682456533e-6,1.8297198034927715e-5,1.2995169058897524e-8,1.689371977656678e-7,9.213574862758344e-6,NA,2.9200144875342735e-5,3.1188405741354055e-7,NA,5.422884048277937e-4,NA,NA,2.3261352615426567e-6,1.8804009628224716e-5,NA,77,10493,753,25,1,1.0006280175351093e-6,1.363583089350117e-4,9.785362301349835e-6,3.248792264724381e-7,1.2995169058897524e-8,63,28,2,2,1,8.186956507105441e-7,3.638647336491307e-7,2.5990338117795047e-8,2.5990338117795047e-8,1.2995169058897524e-8
Threatened,Accessible,Snake River Basin Steelhead,-119.0494,43.788,-112.9985,46.9765,Steelhead,Snake River,Domain_ic.shp,Steelhead,Steelhead,Trout,Interior Columbia,74488.0499333168,37385953,26742775,10458294,484826,5435,218626,716345,98624,351807,289265,781503,153628,4249,3971,14229,57521,76,6404,2131492,754281,10194,114283,29641,871680,36348,3,40761,4618,46,31060,237645,1,59874,878,10903,14926,1,6437,51,2329,1261,NA,37,48,1430,89,1,NA,NA,1020,18,162,128485,5,14,7858,2,NA,6654,307,NA,NA,0.4506599646593231,0.32236433925844366,0.12606698575897773,0.005844218228860476,6.551489828073718e-5,0.0026353744529023825,0.00863500824451052,0.0011888392507892224,0.004240772735869606,0.003486875262406153,0.009420439659814343,0.0018518717190566867,5.1218546972373925e-5,4.7867462938879e-5,1.7152005292301922e-4,6.93373038455618e-4,9.161236926101244e-7,7.719547536151627e-5,0.025693556865907095,0.009092298618232332,1.2288111740088958e-4,0.001377596894244248,3.573002943770618e-4,0.010507456583873595,4.381482102499053e-4,3.616277733987333e-8,4.913436557168589e-4,5.566656858517835e-5,5.544959192113911e-7,3.744052880588219e-4,0.002864634406978066,1.205425911329111e-8,7.217367101491919e-4,1.0583639501469595e-5,1.3142758711221297e-4,1.799218715249831e-4,1.205425911329111e-8,7.759326591225488e-5,6.147672147778467e-7,2.8074369474854997e-5,1.520042074186009e-5,NA,4.460075871917711e-7,5.786044374379733e-7,1.7237590532006288e-5,1.0728290610829088e-6,1.205425911329111e-8,NA,NA,1.2295344295556932e-5,2.1697666403924e-7,1.95278997635316e-6,0.0015487914821712082,6.027129556645556e-8,1.6875962758607555e-7,9.472236811224154e-5,2.410851822658222e-8,NA,8.020904013983905e-5,3.700657547780371e-6,NA,NA,NA,NA,3208,NA,NA,NA,58,NA,13,NA,NA,92,336726,NA,NA,1,2674,NA,NA,38,NA,1,56,214,NA,31,1,NA,290493,NA,NA,1,574,754,NA,NA,3.867006323543788e-5,NA,NA,NA,6.991470285708845e-7,NA,1.5670536847278445e-7,NA,NA,1.1089918384227822e-6,0.004058982454182063,NA,NA,1.205425911329111e-8,3.2233088868940426e-5,NA,NA,4.580618463050622e-7,NA,1.205425911329111e-8,6.750385103443022e-7,2.5796114502442975e-6,NA,3.7368203251202444e-7,1.205425911329111e-8,NA,0.0035016778925972747,NA,NA,1.205425911329111e-8,6.919144731029097e-6,9.088911371421496e-6,43300,893,5,3,2,5.21949419605505e-4,1.0764453388168962e-5,6.027129556645556e-8,3.616277733987333e-8,2.410851822658222e-8,NA,NA,NA,NA,718,NA,NA,NA,NA,8.654958043343018e-6
Threatened,Accessible,Middle Columbia River Steelhead,-121.8496,43.4804,-117.68,47.4645,Steelhead,Middle Columbia River,Domain_ic.shp,Steelhead,Steelhead,Trout,Interior Columbia,77200.235542205,20550912,26838771,19566223,1438684,13551,754881,1363709,378163,643840,125401,530708,367440,15069,NA,72052,164192,31584,363792,4571510,4657322,49256,127531,15462,538174,513835,15,358917,169917,786,7369,199079,198,513532,449,56094,115318,2,104,3998,30294,56630,NA,240326,2511,2726,4703,269,229,NA,236,405,53517,194718,1232,19,103996,NA,NA,11210,383,NA,NA,0.23902905055744858,0.3121635648217843,0.22757606604929811,0.01673343112812669,1.5761259958214924e-4,0.008780072082146881,0.015861391820793533,0.004398439487549576,0.007488546684006418,0.0014585475315623273,0.006172700723123257,0.004273719547669169,1.7526856048287261e-4,NA,8.380416961916476e-4,0.0019097282820893105,3.673556449858019e-4,0.004231289412382056,0.05317154269912117,0.05416962788806246,5.728998749183339e-4,0.0014833217059487178,1.7983957012317848e-4,0.006259538275221282,0.005976449716352568,1.74466016805567e-7,0.004174587956920247,0.001976316145170102,9.14201928061171e-6,8.570933852268155e-5,0.0023155013439756984,2.3029514218334847e-6,0.005972925502813096,5.222349436379972e-6,6.524331164460984e-4,0.001341271475065625,2.32621355740756e-8,1.2096310498519312e-6,4.650100901257713e-5,3.5235156754052314e-4,6.586673687799506e-4,NA,0.0027952479969876464,2.920561121325192e-5,3.170629078746505e-5,5.470091180243878e-5,3.1287572347131684e-6,2.663514523231656e-6,NA,2.744931997740921e-6,4.7105824537503094e-6,6.22459854758902e-4,0.0022647782573564264,1.432947551363057e-5,2.209902879537182e-7,0.0012095845255807832,NA,NA,1.3038426989269374e-4,4.4546989624354776e-6,NA,NA,NA,NA,3954,NA,NA,NA,1907,NA,8219,NA,2,13,64724,NA,NA,3,17178,NA,38,140,1408,1,13,711,NA,2247,24,NA,41732,NA,NA,179,1447,NA,NA,NA,4.5989242029947465e-5,NA,NA,NA,2.2180446269881087e-5,NA,9.559574614166368e-5,NA,2.32621355740756e-8,1.512038812314914e-7,7.528092314482346e-4,NA,NA,3.48932033611134e-8,1.9979848244573535e-4,NA,4.419805759074364e-7,1.6283494901852922e-6,1.6376543444149223e-5,1.16310677870378e-8,1.512038812314914e-7,8.269689196583877e-6,NA,2.613500931747394e-5,2.791456268889072e-7,NA,4.853877208886615e-4,NA,NA,2.081961133879766e-6,1.6830155087843697e-5,NA,77,10493,753,25,1,8.955922196019106e-7,1.2204479428938764e-4,8.758194043639463e-6,2.9077669467594504e-7,1.16310677870378e-8,63,28,2,2,1,7.327572705833815e-7,3.256698980370584e-7,2.32621355740756e-8,2.32621355740756e-8,1.16310677870378e-8
